league_name,league_id,country
premier-league,GB1,England
primera-division,ES1,Spain
1-bundesliga,L1,Germany
serie-a,IT1,Italy
ligue-1,FR1,France
liga-nos,PO1,Portugal
eredivisie,NL1,Netherlands
premier-liga,RU1,Russia
juliper-pro-league,BE1,Belgium
campeonato-brasileiro-serie-a,BRA1,Brazil
chinese-super-league,CSL,China
j1-league,JAP1,Japan
super-lig,TR1,Turkey
liga-mx-apertura,MEXA,Mexico
superliga,AR1N,Argentina
k-league-1,RSK1,South Korea
scottish-premiership,SC1,Scotland
super-league,C1,Switzerland
bundesliga,A1,Austria
allsvenskan,SE1,Sweden
major-league-soccer,MLS1,United States of America
saudi-professional-league,SA1,Saudi Arabia
superligaen,DK1,Denmark
liga-dimayor-i,COLP,Colombia
eliteserien,NO1,Norway
